,ID,Reaction,Name,Subsystem
133,AACTOOR,aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,R_Aminoacetoneoxygen_oxidoreductase_deaminating__flavin_containing_,Uassigned
264,ADSELK,adsel_c + atp_c --> 3padsel_c + adp_c + h_c,R_adenylyl_selenate_kinase,Uassigned
265,ADSELR,3padsel_c + trdrd_c --> 2.0 h_c + pap_c + slnt_c + trdox_c,R_phosphoadenylyl_selenate_reductase__thioredoxin_,Uassigned
266,ADSELR2,3padsel_c + grxrd_c --> grxox_c + 2.0 h_c + pap_c + slnt_c,R_phosphoadenylyl_selenate_reductase__glutaredoxin_,Uassigned
332,ALCD2x,etoh_c + nad_c <=> acald_c + h_c + nadh_c,R_alcohol_dehydrogenase__ethanol_,Uassigned
333,ALCDpp,etoh_p + pqq_p --> acald_p + pqqh2_p,R_alcohol_dehydrogenase__forward_rxn__ethanol___acetaldehyde_,Uassigned
337,ALDD2x,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,R_aldehyde_dehydrogenase__acetaldehyde__NAD_,Uassigned
388,AMID4,ad_c + h2o_c --> ac_c + nh4_c,R_amidase,Uassigned
536,CAT,2.0 h2o2_c --> 2.0 h2o_c + o2_c,R_catalase,Uassigned
541,CATpp,2.0 h2o2_p --> 2.0 h2o_p + o2_p,R_catalase__periplasm_,Uassigned
553,CCPpp,2.0 focytc_c + h2o2_p --> 2.0 ficytc_c + 2.0 h2o_p,R_Cytochrome_c_peroxidase,Uassigned
772,DHMPTRx,dhmpt_c + h_c + nadh_c --> nad_c + thmnp_c,R_Dihydromonapterin_reductase,Uassigned
850,DSBAO1,dsbard_p + q8_c --> dsbaox_p + q8h2_c,R_DsbA_protein_reoxidation_reaction__aerobic_,Uassigned
851,DSBCGT,dsbcox_p + 2.0 gthrd_p --> dsbcrd_p + gthox_p,R_DsbCglutathione_thiotransferase,Uassigned
852,DSBDR,dsbdox_c + trdrd_c --> dsbdrd_c + trdox_c,R_DsbD_reductase,Uassigned
853,DSBGGT,dsbgox_p + 2.0 gthrd_p --> dsbgrd_p + gthox_p,R_DsbGglutathione_thiotransferase,Uassigned
1577,GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,R_glutaredoxin_reductase,Uassigned
1578,GTHOr,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,R_glutathione_oxidoreductase,Uassigned
1579,GTHPi,2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c,R_glutathione_peridoxase,Uassigned
1600,H2CO3D,co2_c + h2o_c <=> h2co3_c,R_carboxylic_acid_dissociation,Uassigned
1601,H2CO3D2,h_c + hco3_c <=> h2co3_c,R_carboxylic_acid_dissociation,Uassigned
1647,HCO3E,co2_c + h2o_c <=> h_c + hco3_c,R_HCO3_equilibration_reaction,Uassigned
1904,METOX1s,h2o2_c + met__L_c --> h2o_c + metsox_S__L_c,R_methionine_oxidation__spontaneous_,Uassigned
1905,METOX2s,h2o2_c + met__L_c --> h2o_c + metsox_R__L_c,R_methionine_oxidation_2__spontaneous_,Uassigned
1907,METSOXR1,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,R_L_methionine_S_oxide_reductase,Uassigned
1908,METSOXR2,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,R_L_methionine_R_sulfoxide_reductase,Uassigned
1975,NADHPO,h2o2_c + h_c + nadh_c --> 2.0 h2o_c + nad_c,R_NADH_peroxidase,Uassigned
1978,NADPHQR2,h_c + nadph_c + q8_c --> nadp_c + q8h2_c,R_NADPH_Quinone_Reductase__Ubiquinone_8_,Uassigned
2605,SELADT,atp_c + h_c + sel_c --> adsel_c + ppi_c,R_selenate_adenylyltransferase,Uassigned
2607,SELGTHR,4.0 gthrd_c + 2.0 h_c + slnt_c --> dgslnt_c + gthox_c + 3.0 h2o_c,R_selenate_glutathione_reductase,Uassigned
2608,SELGTHR2,dgslnt_c + h_c + nadph_c --> gslnt_c + gthrd_c + nadp_c,R_selenate_glutathione_reductase_II,Uassigned
2609,SELGTHR3,gslnt_c + nadph_c --> gthrd_c + nadp_c + seln_c,R_selenate_glutathione_reductase_III,Uassigned
2611,SELNPS,atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c,R_Selenophosphate_synthase,Uassigned
2644,SPODM,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,R_superoxide_dismutase,Uassigned
2675,TDSR1,dsbcox_p + dsbdrd_c --> dsbcrd_p + dsbdox_c,R_thioldisulfide_reductase__DsbC_,Uassigned
2676,TDSR2,dsbdrd_c + dsbgox_p --> dsbdox_c + dsbgrd_p,R_thioldisulfide_reductase__DsbG_,Uassigned
2683,THIORDXi,h2o2_c + trdrd_c --> 2.0 h2o_c + trdox_c,R_hydrogen_peroxide_reductase__thioredoxin_,Uassigned
2916,MTSOXINACT,accoa_c + mtsoxin_c --> acmtsoxin_c + coa_c + h_c,L_Aminoacid acyltransferase,Uassigned
2922,PPTRNACT,accoa_c + pptrn_c --> acpptrn_c + coa_c + h_c,L_Phosphinothricin N_acyltransferase,Uassigned
3163,RDXR,nadh_c + 2.0 rdxo_c --> h_c + nad_c + 2.0 rdxr_c,Rubredoxin oxidoreductase,Uassigned
